Status,Date,Title,Category,Start,End,Start24,Location,Host,RSVP,Capacity,Price,Series,Description,Cutoff,Marquee,Counted,Moved,Image,Slug
Live,2026-11-11,Kokedama,Enrichment Experience,6:30 PM,8:00 PM,1830,"Level 39, Residents’ Club",Resident Experiences,Seat,20,,,"The Japanese art of moss ball gardening. You’ll wrap a living plant in nutrient-rich soil and soft moss to make a kokedama, a sculptural piece that sits on a shelf or hangs by a window.

We begin with a demonstration, then everyone makes their own. All supplies and care instructions are provided, and no experience is needed.

Light bites and wine will be served throughout. You’ll take home your kokedama, and everything you need to keep it thriving.","Monday, Nov 9",False,True,False,"linear-gradient(150deg,#3a3f33 0%,#6b7358 48%,#c3c4a5 100%)",kokedama
Live,2026-11-12,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-11-12,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-11-17,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-11-17,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-11-18,Book Club,Enrichment Experience,4:30 PM,6:00 PM,1630,"Level 39, Residents’ Club",Resident Experiences,Seat,,,Last Wednesday of the month,"Moved a week early. The last Wednesday of November falls on Thanksgiving eve.

Our monthly meeting, on the last Wednesday of the month at 4:30 on Level 39.

We’re continuing with <em>London Falling</em> by Patrick Radden Keefe. Light bites and wine will be served.",,False,True,True,,book-club
Live,2026-11-18,A Moment of Zen,Enrichment Experience,6:00 PM,8:00 PM,1800,"Level 39, Residents’ Club",Resident Experiences,Seat,25,,,"An evening to slow down before the holiday season begins. A sound bath, guided breathing, and massage work, in a room set for stillness.

Wellness-minded drinks and snacks will be served throughout. Come as you are. There’s nothing to bring, and nothing you need to know beforehand.

We begin at 6:00, straight after Book Club, so you’re welcome to make an evening of the two.","Monday, Nov 16",False,True,False,"linear-gradient(155deg,#191d2b 0%,#39415e 46%,#7b85a8 74%,#cfd4e2 100%)",a-moment-of-zen
Live,2026-11-19,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-11-19,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-11-22,Sunday Brunch,Culinary Experience,10:00 AM,2:00 PM,1000,"Level 39, Residents’ Club",Resident Experiences,Seat,45,,Last Sunday of the month,"A week early this month, ahead of the Thanksgiving holiday.

Brunch on Level 39, from 10:00 to 2:00. A wider window than before, so you can come when it suits you.

If noon to two has been your habit, that time is unchanged. We’ve simply opened the morning on either side of it.

Please RSVP so we can set the room properly.",,False,True,True,"linear-gradient(155deg,#8a6a34 0%,#c9a15c 48%,#efd9a8 100%)",sunday-brunch
Live,2026-11-24,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-11-24,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-12-01,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-12-01,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-12-03,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-12-03,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-12-08,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-12-08,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-12-09,Healthy Holiday Appetizers,Culinary Experience,5:30 PM,7:00 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Seat,25,,,"A cooking demonstration with Leo, our Resident Experience Manager and a chef by training. The subject is holiday appetizers, all of them vegan, and all of them worth putting on your own table.

He’ll cook a vegan holiday dish from start to finish, then make two drinks alongside it: a holiday cocktail, and a mocktail.

Everything will be tasted. Please come hungry.","Monday, Dec 7",False,True,False,"linear-gradient(150deg,#1e2a1c 0%,#425a34 44%,#9db877 74%,#e6d9a8 100%)",healthy-holiday-appetizers
Live,2026-12-10,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-12-10,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-12-15,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-12-15,Wine & Beer Happy Hour,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Tuesday,"Every Tuesday on Level 39, from 5:30 to 7:30. A rotating selection of wine and beer in good company. Come as you are, and stay as long as you like.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#6d2c2f 0%,#a8524a 46%,#dba078 100%)",wine-beer-happy-hour
Live,2026-12-16,Book Club,Enrichment Experience,4:30 PM,6:00 PM,1630,"Level 39, Residents’ Club",Resident Experiences,Seat,,,Last Wednesday of the month,"Moved to mid-month. The last Wednesday of December falls between the holidays.

Our monthly meeting, on the last Wednesday of the month at 4:30 on Level 39.

We’re continuing with <em>London Falling</em> by Patrick Radden Keefe. Light bites and wine will be served.",,False,True,True,,book-club
Live,2026-12-17,Café 181,Morning Offering,7:30 AM,9:00 AM,0730,"Level 39, Residents’ Club",Leigh-Ann,None,,,Every Tuesday and Thursday,"Leigh-Ann hosts a coffee house on Level 39 on Tuesday and Thursday mornings, from 7:30 to 9:00. Come down for a proper cup before the day gets going.

No sign-up needed. This one is Leigh-Ann’s, so please send any questions her way.",,False,False,False,"linear-gradient(160deg,#3b2a1c 0%,#7a5636 48%,#c9a377 100%)",cafe-181
Live,2026-12-17,Happy Hour & Bites,Happy Hour,5:30 PM,7:30 PM,1730,"Level 39, Residents’ Club",Resident Experiences,Guest count,,,Every Thursday,"Thursdays on Level 39, from 5:30 to 7:30. The same easy evening, with something from the kitchen alongside the wine and beer.

You don’t need to RSVP to join us on your own. If you’re bringing a guest from outside the building, please let us know so we can pour for them.",,False,True,False,"linear-gradient(160deg,#7d3b1f 0%,#c8632f 45%,#e6a066 100%)",happy-hour-bites
Live,2026-12-18,"Lights, Camera, Gala",Signature Event,6:30 PM,9:00 PM,1830,"Level 39, Residents’ Club",Resident Experiences,Seat,50,,,"Our end-of-year party, and the one evening the whole building comes together. A red-carpet gala in the spirit of Old Hollywood. Black tie if you have it, and glamour however you care to define it.

Walk the red carpet on arrival, then join us for an evening of food, drink, and awards, from 6:30 until 9:00 on Level 39.

Open to residents and everyone who lives in your home. This is the one evening we aren’t able to include outside guests, as the room only holds so many.

We’d love to see you in Old Hollywood glamour.","Monday, Dec 14",True,True,False,"linear-gradient(150deg,#0e0b0e 0%,#3a0f16 38%,#7d1f22 66%,#d8a54e 100%)",lights-camera-gala
Live,2026-12-20,Sunday Brunch,Culinary Experience,10:00 AM,2:00 PM,1000,"Level 39, Residents’ Club",Resident Experiences,Seat,45,,Last Sunday of the month,"Our last gathering of the year, moved ahead of the holidays.

Brunch on Level 39, from 10:00 to 2:00. A wider window than before, so you can come when it suits you.

If noon to two has been your habit, that time is unchanged. We’ve simply opened the morning on either side of it.

Please RSVP so we can set the room properly.",,False,True,True,"linear-gradient(155deg,#8a6a34 0%,#c9a15c 48%,#efd9a8 100%)",sunday-brunch
